year,number_of_households,cid,income_quartile
2055,169803,2,2
2055,182737,2,3
2055,136934,2,4
2055,35220,3,1
2055,41644,3,2
2055,41954,3,3
2055,25632,3,4
2055,95755,4,1
2055,121376,4,2
2055,139529,4,3
2055,101740,4,4
2056,26965,1,1
2056,46123,1,2
2056,63741,1,3
2056,55503,1,4
2056,144259,2,1
2056,171297,2,2
2056,184344,2,3
2056,138139,2,4
2056,35497,3,1
2056,41972,3,2
2056,42285,3,3
2056,25834,3,4
2056,97484,4,1
2056,123567,4,2
2056,142048,4,3
2056,103577,4,4
2057,27219,1,1
2057,46559,1,2
2057,64344,1,3
2057,56028,1,4
2057,145479,2,1
2057,172746,2,2
2057,185903,2,3
2057,139307,2,4
2057,35779,3,1
2057,42305,3,2
2057,42620,3,3
2057,26038,3,4
2057,99208,4,1
2057,125752,4,2
2057,144559,4,3
2057,105408,4,4
2058,27479,1,1
2058,47003,1,2
2058,64958,1,3
2058,56563,1,4
2058,146702,2,1
2058,174198,2,2
2058,187466,2,3
2058,140478,2,4
2058,36063,3,1
2058,42641,3,2
2058,42959,3,3
2058,26245,3,4
2058,100984,4,1
2058,128003,4,2
2058,147147,4,3
2058,107295,4,4
2059,27745,1,1
2059,47458,1,2
2059,65586,1,3
2059,57110,1,4
2059,147930,2,1
2059,175657,2,2
2059,189036,2,3
2059,141655,2,4
2059,36354,3,1
2059,42985,3,2
2059,43306,3,3
2059,26457,3,4
2059,102809,4,1
2059,130316,4,2
2059,149807,4,3
2059,109235,4,4
2060,28018,1,1
2060,47925,1,2
2060,66232,1,3
2060,57672,1,4
2060,149195,2,1
2060,177159,2,2
2060,190652,2,3
2060,142866,2,4
2060,36649,3,1
2060,43334,3,2
2060,43657,3,3
2060,26672,3,4
2060,104645,4,1
2060,132643,4,2
2060,152482,4,3
2060,111185,4,4
