parcel_id,redev_friction
78990,100
78821,100
79216,100
80853,100
80863,100
80492,100
80686,100
80698,100
77361,100
77588,100
78157,100
77683,100
77356,100
80590,100
80045,100
80082,100
80227,100
80255,100
80332,100
79399,100
78687,100
79103,100
79107,100
79109,100
79184,100
78699,100
14616,100
14713,100
15364,100
14081,100
14695,100
15321,100
15421,100
20659,100
20628,100
73262,100
20794,100
20894,100
20859,100
20927,100
20903,100
20925,100
21253,100
21252,100
21022,100
21374,100
77294,100
78438,100
77467,100
77518,100
77417,100
77039,100
77152,100
15049,100
75509,100
20583,100
14721,100
20691,100
20571,100
20932,100
14889,100
13214,100
11990,100
18566,100
18571,100
18817,100
18686,100
18585,100
18837,100
18918,100
17101,100
17106,100
17108,100
17168,100
17337,100
17180,100
18901,100
19138,100
19161,100
18976,100
19167,100
74820,100
74546,100
74617,100
76637,100
76760,100
76744,100
76119,100
76126,100
76161,100
76176,100
76213,100
76237,100
75320,100
75348,100
82330,100
82326,100
82420,100
75865,100
82303,100
82389,100
82431,100
80959,100
82466,100
80896,100
14559,100
14512,100
14467,100
15369,100
14296,100
15383,100
15180,100
15162,100
15495,100
14803,100
14553,100
15114,100
14995,100
14866,100
15040,100
14966,100
14985,100
11790,100
11753,100
11507,100
11590,100
11496,100
11623,100
12739,100
12724,100
12157,100
15411,100
16346,100
16301,100
16306,100
12765,100
12862,100
12980,100
13047,100
12799,100
12746,100
16866,100
15222,100
15224,100
15549,100
15738,100
15728,100
15735,100
18708,100
15970,100
15800,100
15845,100
17721,100
17734,100
17736,100
17864,100
17829,100
17846,100
17759,100
17906,100
18290,100
18277,100
18015,100
18285,100
18288,100
16484,100
16457,100
16614,100
16376,100
16451,100
16538,100
16560,100
16561,100
16612,100
16750,100
16912,100
16991,100
17234,100
17992,100
17941,100
18041,100
18071,100
20224,100
20433,100
20290,100
21283,100
20047,100
20359,100
20862,100
20864,100
20053,100
20062,100
20169,100
20087,100
19916,100
19671,100
19498,100
19889,100
19786,100
19801,100
19878,100
19393,100
19525,100
19597,100
76070,100
75071,100
75007,100
75038,100
76330,100
75196,100
76402,100
72650,100
76909,100
76938,100
72816,100
76533,100
83010,100
73324,100
82936,100
76960,100
76989,100
77003,100
83076,100
83089,100
73443,100
73652,100
73617,100
73573,100
73592,100
73927,100
73563,100
73741,100
73777,100
73781,100
73818,100
73841,100
73881,100
73949,100
74441,100
75596,100
75605,100
75924,100
75925,100
75990,100
82655,100
75670,100
82264,100
82133,100
82476,100
82487,100
77916,100
78097,100
78041,100
78105,100
77986,100
77994,100
78111,100
78288,100
78332,100
78860,100
78949,100
80431,100
79296,100
79318,100
79245,100
79250,100
75620,100
79998,100
80687,100
77323,100
77388,100
77598,100
77619,100
77639,100
77643,100
77649,100
77674,100
77685,100
77721,100
77728,100
79712,100
80582,100
80031,100
80131,100
80311,100
79445,100
80600,100
79400,100
79097,100
79595,100
78703,100
78704,100
85373,100
85361,100
84848,100
84795,100
14696,100
15402,100
20737,100
20891,100
21313,100
21191,100
73211,100
21117,100
21034,100
21047,100
21166,100
20514,100
78458,100
78365,100
77526,100
77407,100
77133,100
77179,100
77208,100
15342,100
14978,100
14910,100
14857,100
18188,100
15556,100
20810,100
77415,100
20759,100
11972,100
12026,100
11558,100
11574,100
11969,100
18347,100
18756,100
18687,100
18425,100
18586,100
18931,100
18735,100
18377,100
18665,100
19061,100
19145,100
19215,100
19004,100
19034,100
19280,100
19634,100
19228,100
19351,100
19353,100
74807,100
74798,100
74839,100
74728,100
74731,100
74742,100
74559,100
74966,100
76622,100
76309,100
76102,100
74311,100
74316,100
75241,100
75523,100
75562,100
75260,100
75893,100
82445,100
75878,100
82467,100
80917,100
14506,100
14551,100
15045,100
14783,100
15128,100
14990,100
15269,100
14831,100
14832,100
15295,100
15122,100
14947,100
15055,100
3149,100
12846,100
11764,100
11766,100
11695,100
11725,100
3228,100
3247,100
11605,100
11598,100
11633,100
12265,100
12274,100
12278,100
15511,100
12037,100
12040,100
12164,100
16351,100
16212,100
16302,100
12976,100
13032,100
13161,100
13223,100
12845,100
13973,100
12668,100
13248,100
15848,100
16119,100
16069,100
15968,100
17618,100
15238,100
15913,100
17700,100
17502,100
17816,100
19483,100
18115,100
17525,100
16624,100
17580,100
16577,100
16613,100
16416,100
16531,100
17416,100
16789,100
16831,100
16847,100
16902,100
16917,100
16936,100
16954,100
16972,100
16976,100
17066,100
17243,100
17229,100
17214,100
17355,100
17357,100
17361,100
18022,100
17987,100
18044,100
20439,100
20427,100
20653,100
19955,100
20211,100
20104,100
19712,100
19713,100
19720,100
19774,100
19846,100
19504,100
19585,100
19583,100
76404,100
21452,100
73554,100
21464,100
76358,100
21333,100
75083,100
74995,100
75011,100
76352,100
76370,100
76430,100
76546,100
76576,100
82976,100
82901,100
76965,100
76951,100
77012,100
83167,100
83064,100
72921,100
74351,100
73626,100
74216,100
73769,100
73879,100
73932,100
74105,100
74149,100
74150,100
74263,100
74268,100
75697,100
75440,100
75443,100
75451,100
75468,100
75494,100
75734,100
75943,100
75992,100
75661,100
82214,100
82277,100
75639,100
75644,100
82518,100
77797,100
78055,100
78150,100
78005,100
78059,100
78122,100
77989,100
78326,100
80410,100
78938,100
79261,100
79293,100
79001,100
79006,100
78872,100
78820,100
78950,100
80007,100
80461,100
80464,100
80701,100
77548,100
77752,100
79762,100
80076,100
80085,100
80092,100
80103,100
80172,100
80192,100
80203,100
80297,100
80305,100
80329,100
78982,100
79916,100
80624,100
79452,100
78670,100
79050,100
79185,100
84894,100
84898,100
84879,100
85324,100
84783,100
84782,100
18827,100
20578,100
20471,100
14650,100
14669,100
14639,100
18893,100
18861,100
14267,100
20674,100
20853,100
14265,100
21091,100
77308,100
77422,100
78416,100
78541,100
77516,100
77430,100
77392,100
79544,100
14897,100
15028,100
14929,100
78022,100
14104,100
20474,100
79562,100
14447,100
85405,100
20965,100
11820,100
11554,100
12702,100
11971,100
12611,100
18814,100
18654,100
18623,100
18764,100
18775,100
18329,100
18409,100
18916,100
18711,100
18683,100
17128,100
17159,100
17160,100
